,Comuna,Partido,Porc_Pres,Porc_DipNac,Porc_JefGob,Porc_Com1,Porc_Com2,Porc_Com3,Porc_Com4,Porc_Com5,Porc_Com6,Porc_Com7,Porc_Com8,Porc_Com9,Porc_Com10,Porc_Com11,Porc_Com12,Porc_Com13,Porc_Com14,Porc_Com15
94,COMUNA 09,BLANCO,3.27,4.6,8.61,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0
95,COMUNA 09,NULO,1.07,1.0,0.98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0
96,COMUNA 09,RECURRIDO,0.02,0.02,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
97,COMUNA 09,IMPUGNADO,0.03,0.03,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
98,COMUNA 09,OTROS,1.69,5.39,2.36,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0
99,COMUNA 10,FIT,4.34,4.97,4.26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0
100,COMUNA 10,FDT,34.09,32.4,33.16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.65,0.0,0.0,0.0,0.0,0.0
101,COMUNA 10,JXC,39.64,40.22,41.47,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.53,0.0,0.0,0.0,0.0,0.0
102,COMUNA 10,CF,10.62,9.19,8.93,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.79,0.0,0.0,0.0,0.0,0.0
103,COMUNA 10,ULD,3.68,3.14,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,COMUNA 10,NOS,1.24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,COMUNA 10,BLANCO,3.4,4.4,8.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0.0,0.0,0.0,0.0,0.0
106,COMUNA 10,NULO,1.15,1.09,1.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0
107,COMUNA 10,RECURRIDO,0.06,0.05,0.07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
108,COMUNA 10,IMPUGNADO,0.02,0.02,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
109,COMUNA 10,OTROS,1.57,4.62,2.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,0.0,0.0
110,COMUNA 11,FIT,3.96,4.66,3.96,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0
111,COMUNA 11,FDT,31.07,29.29,30.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55,0.0,0.0,0.0,0.0
112,COMUNA 11,JXC,43.63,44.55,45.94,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05,0.0,0.0,0.0,0.0
113,COMUNA 11,CF,10.35,8.94,8.56,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,0.0,0.0
114,COMUNA 11,ULD,3.87,3.34,0.12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,COMUNA 11,NOS,1.12,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,COMUNA 11,BLANCO,3.17,3.82,7.85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,0.0
117,COMUNA 11,NULO,1.12,1.06,1.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,COMUNA 11,RECURRIDO,0.03,0.03,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
119,COMUNA 11,IMPUGNADO,0.02,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
